"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-17","0.00",,"56","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-18","0.46",,"55","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-19","0.00",,"63","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-20","0.00",,"62","32"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-21","0.00",,"69","32"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-22","0.00",,"68","36"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-23","0.00",,"68","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-24","0.00",,"70","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-25","0.00",,"66","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-26","0.00",,"76","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-27","0.00",,"75","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-28","0.00",,"76","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-29","0.00",,"69","36"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-30","0.00",,"80","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-03-31","0.00",,"82","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-01","0.00",,"84","43"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-02","0.00",,"71","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-03","0.00",,"65","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-04","0.00",,"65","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-05","0.00",,"63","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-06","0.00",,"66","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-07","0.00",,"66","45"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-08","0.00",,"70","34"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-09","0.00",,"67","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-10","0.00",,"74","34"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-11","0.00",,"74","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-12","0.00",,"72","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-13","0.00",,"71","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-14","0.00",,"70","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-15","0.00",,"69","40"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-16","0.00",,"71","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-17","0.00",,"82","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-18","0.00",,"86","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-19","0.00",,"71","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-04-20","0.00",,"70","42"
