omega = 2.91 	 gamma = 0.08 	 theta_0 = 0.66
time 	 angle
0.0 	 0.66
0.1 	 0.63
0.2 	 0.54
0.3 	 0.41
0.4 	 0.25
0.5 	 0.07
0.6 	 -0.11
0.7 	 -0.28
0.8 	 -0.43
0.9 	 -0.53
1.0 	 -0.59
1.1 	 -0.6
1.2 	 -0.56
1.3 	 -0.48
1.4 	 -0.35
1.5 	 -0.2
1.6 	 -0.03
1.7 	 0.13
1.8 	 0.29
1.9 	 0.41
2.0 	 0.5
2.1 	 0.55
2.2 	 0.55
2.3 	 0.5
2.4 	 0.42
2.5 	 0.3
2.6 	 0.15
2.7 	 -0.0
2.8 	 -0.15
2.9 	 -0.29
3.0 	 -0.4
3.1 	 -0.47
3.2 	 -0.51
3.3 	 -0.5
3.4 	 -0.45
3.5 	 -0.36
3.6 	 -0.25
3.7 	 -0.11
3.8 	 0.03
3.9 	 0.17
4.0 	 0.29
4.1 	 0.38
4.2 	 0.44
4.3 	 0.47
4.4 	 0.45
4.5 	 0.4
4.6 	 0.31
4.7 	 0.2
4.8 	 0.08
4.9 	 -0.05
5.0 	 -0.18
5.1 	 -0.28
5.2 	 -0.37
5.3 	 -0.41
5.4 	 -0.43
5.5 	 -0.41
5.6 	 -0.35
5.7 	 -0.27
5.8 	 -0.16
5.9 	 -0.05
6.0 	 0.07
6.1 	 0.18
6.2 	 0.28
6.3 	 0.35
6.4 	 0.39
6.5 	 0.39
6.6 	 0.36
6.7 	 0.31
6.8 	 0.23
6.9 	 0.13
7.0 	 0.02
7.1 	 -0.09
7.2 	 -0.19
7.3 	 -0.27
7.4 	 -0.33
7.5 	 -0.36
7.6 	 -0.36
7.7 	 -0.33
7.8 	 -0.27
7.9 	 -0.19
8.0 	 -0.1
8.1 	 0.0
8.2 	 0.1
8.3 	 0.19
8.4 	 0.26
8.5 	 0.31
8.6 	 0.33
8.7 	 0.32
8.8 	 0.29
8.9 	 0.23
9.0 	 0.16
9.1 	 0.07
9.2 	 -0.02
9.3 	 -0.11
9.4 	 -0.19
9.5 	 -0.25
9.6 	 -0.29
9.7 	 -0.3
9.8 	 -0.29
9.9 	 -0.26
10.0 	 -0.2
