omega = 3.38 	 gamma = 0.09 	 theta_0 = 0.93
time 	 angle
0.0 	 0.93
0.1 	 0.87
0.2 	 0.71
0.3 	 0.48
0.4 	 0.19
0.5 	 -0.11
0.6 	 -0.39
0.7 	 -0.62
0.8 	 -0.78
0.9 	 -0.85
1.0 	 -0.83
1.1 	 -0.71
1.2 	 -0.51
1.3 	 -0.26
1.4 	 0.02
1.5 	 0.28
1.6 	 0.52
1.7 	 0.69
1.8 	 0.78
1.9 	 0.78
2.0 	 0.69
2.1 	 0.53
2.2 	 0.31
2.3 	 0.06
2.4 	 -0.19
2.5 	 -0.42
2.6 	 -0.59
2.7 	 -0.7
2.8 	 -0.72
2.9 	 -0.67
3.0 	 -0.54
3.1 	 -0.35
3.2 	 -0.12
3.3 	 0.11
3.4 	 0.33
3.5 	 0.5
3.6 	 0.62
3.7 	 0.67
3.8 	 0.64
3.9 	 0.53
4.0 	 0.38
4.1 	 0.18
4.2 	 -0.04
4.3 	 -0.24
4.4 	 -0.42
4.5 	 -0.54
4.6 	 -0.61
4.7 	 -0.6
4.8 	 -0.53
4.9 	 -0.39
5.0 	 -0.22
5.1 	 -0.02
5.2 	 0.17
5.3 	 0.34
5.4 	 0.47
5.5 	 0.55
5.6 	 0.56
5.7 	 0.51
5.8 	 0.4
5.9 	 0.25
6.0 	 0.08
6.1 	 -0.11
6.2 	 -0.27
6.3 	 -0.4
6.4 	 -0.49
6.5 	 -0.52
6.6 	 -0.49
6.7 	 -0.4
6.8 	 -0.28
6.9 	 -0.12
7.0 	 0.05
7.1 	 0.21
7.2 	 0.34
7.3 	 0.43
7.4 	 0.47
7.5 	 0.46
7.6 	 0.4
7.7 	 0.29
7.8 	 0.15
7.9 	 0.0
8.0 	 -0.15
8.1 	 -0.28
8.2 	 -0.38
8.3 	 -0.43
8.4 	 -0.43
8.5 	 -0.39
8.6 	 -0.3
8.7 	 -0.18
8.8 	 -0.04
8.9 	 0.1
9.0 	 0.22
9.1 	 0.32
9.2 	 0.39
9.3 	 0.4
9.4 	 0.37
9.5 	 0.3
9.6 	 0.2
9.7 	 0.08
9.8 	 -0.05
9.9 	 -0.17
10.0 	 -0.27
