omega = 2.79 	 gamma = 0.06 	 theta_0 = 0.98
time 	 angle
0.0 	 0.98
0.1 	 0.94
0.2 	 0.82
0.3 	 0.64
0.4 	 0.42
0.5 	 0.17
0.6 	 -0.1
0.7 	 -0.35
0.8 	 -0.57
0.9 	 -0.75
1.0 	 -0.87
1.1 	 -0.91
1.2 	 -0.89
1.3 	 -0.8
1.4 	 -0.65
1.5 	 -0.45
1.6 	 -0.22
1.7 	 0.03
1.8 	 0.27
1.9 	 0.49
2.0 	 0.66
2.1 	 0.79
2.2 	 0.85
2.3 	 0.85
2.4 	 0.78
2.5 	 0.65
2.6 	 0.47
2.7 	 0.26
2.8 	 0.03
2.9 	 -0.19
3.0 	 -0.4
3.1 	 -0.58
3.2 	 -0.71
3.3 	 -0.78
3.4 	 -0.8
3.5 	 -0.75
3.6 	 -0.64
3.7 	 -0.49
3.8 	 -0.3
3.9 	 -0.09
4.0 	 0.13
4.1 	 0.33
4.2 	 0.5
4.3 	 0.64
4.4 	 0.72
4.5 	 0.75
4.6 	 0.72
4.7 	 0.63
4.8 	 0.5
4.9 	 0.33
5.0 	 0.14
5.1 	 -0.07
5.2 	 -0.26
5.3 	 -0.43
5.4 	 -0.57
5.5 	 -0.66
5.6 	 -0.7
5.7 	 -0.68
5.8 	 -0.62
5.9 	 -0.5
6.0 	 -0.35
6.1 	 -0.17
6.2 	 0.01
6.3 	 0.2
6.4 	 0.36
6.5 	 0.5
6.6 	 0.6
6.7 	 0.65
6.8 	 0.65
6.9 	 0.6
7.0 	 0.5
7.1 	 0.37
7.2 	 0.21
7.3 	 0.03
7.4 	 -0.14
7.5 	 -0.3
7.6 	 -0.44
7.7 	 -0.54
7.8 	 -0.6
7.9 	 -0.61
8.0 	 -0.57
8.1 	 -0.49
8.2 	 -0.38
8.3 	 -0.23
8.4 	 -0.07
8.5 	 0.09
8.6 	 0.24
8.7 	 0.38
8.8 	 0.48
8.9 	 0.55
9.0 	 0.57
9.1 	 0.55
9.2 	 0.49
9.3 	 0.39
9.4 	 0.26
9.5 	 0.11
9.6 	 -0.04
9.7 	 -0.19
9.8 	 -0.32
9.9 	 -0.43
10.0 	 -0.5
