omega = 3.04 	 gamma = 0.06 	 theta_0 = 0.89
time 	 angle
0.0 	 0.89
0.1 	 0.84
0.2 	 0.72
0.3 	 0.54
0.4 	 0.3
0.5 	 0.04
0.6 	 -0.22
0.7 	 ERR
0.8 	 -0.64
0.9 	 -0.77
1.0 	 -0.83
1.1 	 ERR
1.2 	 -0.72
1.3 	 -0.57
1.4 	 -0.36
1.5 	 -0.12
1.6 	 0.12
1.7 	 0.35
1.8 	 0.55
ERR 	 0.69
2.0 	 0.77
2.1 	 0.78
2.2 	 0.72
2.3 	 0.59
2.4 	 ERR
2.5 	 0.19
ERR 	 ERR
ERR 	 -0.26
2.8 	 -0.46
2.9 	 -0.61
3.0 	 -0.71
3.1 	 -0.74
3.2 	 -0.7
3.3 	 -0.6
3.4 	 ERR
3.5 	 -0.25
ERR 	 ERR
ERR 	 0.18
3.8 	 0.37
ERR 	 0.53
4.0 	 0.64
4.1 	 0.69
4.2 	 0.68
4.3 	 0.6
4.4 	 0.47
4.5 	 0.3
4.6 	 0.1
ERR 	 ERR
4.8 	 -0.29
4.9 	 -0.46
5.0 	 -0.58
5.1 	 -0.64
5.2 	 -0.65
5.3 	 -0.6
5.4 	 -0.49
5.5 	 -0.34
5.6 	 -0.16
5.7 	 0.03
5.8 	 0.22
5.9 	 0.38
6.0 	 0.51
6.1 	 0.59
6.2 	 0.61
6.3 	 0.58
6.4 	 0.5
6.5 	 0.37
ERR 	 0.21
6.7 	 0.03
6.8 	 -0.15
6.9 	 -0.31
7.0 	 -0.44
7.1 	 -0.53
7.2 	 -0.57
7.3 	 -0.56
7.4 	 -0.5
7.5 	 ERR
7.6 	 -0.25
7.7 	 -0.09
7.8 	 0.08
7.9 	 0.24
8.0 	 0.38
8.1 	 0.48
8.2 	 0.53
8.3 	 0.54
8.4 	 0.49
8.5 	 0.41
ERR 	 0.28
8.7 	 0.13
8.8 	 -0.03
8.9 	 -0.18
9.0 	 -0.32
9.1 	 -0.42
9.2 	 -0.49
9.3 	 -0.51
9.4 	 -0.48
9.5 	 ERR
9.6 	 -0.31
9.7 	 -0.17
9.8 	 -0.03
9.9 	 0.12
10.0 	 ERR
