omega = 2.74 	 gamma = 0.11 	 theta_0 = 0.69
time 	 angle
0.0 	 0.69
0.1 	 0.66
0.2 	 0.58
0.3 	 0.45
0.4 	 0.3
0.5 	 0.13
0.6 	 -0.05
0.7 	 -0.22
0.8 	 -0.37
0.9 	 -0.49
1.0 	 -0.57
1.1 	 -0.61
1.2 	 -0.6
1.3 	 -0.55
1.4 	 -0.45
1.5 	 -0.33
1.6 	 -0.19
1.7 	 -0.03
1.8 	 0.12
1.9 	 0.27
2.0 	 0.38
2.1 	 0.47
2.2 	 0.52
2.3 	 0.54
2.4 	 0.51
2.5 	 0.44
2.6 	 0.35
2.7 	 0.23
2.8 	 0.09
2.9 	 -0.05
3.0 	 -0.18
3.1 	 -0.29
3.2 	 -0.38
3.3 	 -0.45
3.4 	 -0.47
3.5 	 -0.46
3.6 	 -0.42
3.7 	 -0.35
3.8 	 -0.25
3.9 	 -0.14
4.0 	 -0.02
4.1 	 0.1
4.2 	 0.21
4.3 	 0.3
4.4 	 0.37
4.5 	 0.41
4.6 	 0.42
4.7 	 0.39
4.8 	 0.34
4.9 	 0.26
5.0 	 0.17
5.1 	 0.06
5.2 	 -0.04
5.3 	 -0.14
5.4 	 -0.23
5.5 	 -0.3
5.6 	 -0.35
5.7 	 -0.37
5.8 	 -0.36
5.9 	 -0.32
6.0 	 -0.27
6.1 	 -0.19
6.2 	 -0.1
6.3 	 -0.01
6.4 	 0.09
6.5 	 0.17
6.6 	 0.24
6.7 	 0.29
6.8 	 0.32
6.9 	 0.32
7.0 	 0.3
7.1 	 0.26
7.2 	 0.2
7.3 	 0.13
7.4 	 0.04
7.5 	 -0.04
7.6 	 -0.12
7.7 	 -0.19
7.8 	 -0.24
7.9 	 -0.27
8.0 	 -0.29
8.1 	 -0.28
8.2 	 -0.25
8.3 	 -0.2
8.4 	 -0.14
8.5 	 -0.07
8.6 	 0.0
8.7 	 0.07
8.8 	 0.14
8.9 	 0.19
9.0 	 0.23
9.1 	 0.25
9.2 	 0.25
9.3 	 0.23
9.4 	 0.2
9.5 	 0.15
9.6 	 0.09
9.7 	 0.03
9.8 	 -0.03
9.9 	 -0.1
10.0 	 -0.15
