omega = 3.41 	 gamma = 0.1 	 theta_0 = 0.83
time 	 angle
0.0 	 0.83
0.1 	 0.77
0.2 	 0.63
0.3 	 0.42
0.4 	 0.16
0.5 	 -0.11
0.6 	 -0.36
0.7 	 -0.56
0.8 	 -0.7
0.9 	 -0.76
1.0 	 -0.72
1.1 	 -0.61
1.2 	 -0.43
1.3 	 -0.2
1.4 	 0.04
1.5 	 0.28
1.6 	 0.48
1.7 	 0.62
1.8 	 0.69
1.9 	 0.67
2.0 	 0.58
2.1 	 0.43
2.2 	 0.23
2.3 	 0.01
2.4 	 -0.21
2.5 	 -0.4
2.6 	 -0.54
2.7 	 -0.62
2.8 	 -0.62
2.9 	 -0.56
3.0 	 -0.43
3.1 	 -0.25
3.2 	 -0.05
3.3 	 0.15
3.4 	 0.33
3.5 	 0.47
3.6 	 0.55
3.7 	 0.57
3.8 	 0.52
3.9 	 0.42
4.0 	 0.27
4.1 	 0.09
4.2 	 -0.1
4.3 	 -0.27
4.4 	 -0.41
4.5 	 -0.49
4.6 	 -0.52
4.7 	 -0.49
4.8 	 -0.41
4.9 	 -0.27
5.0 	 -0.11
5.1 	 0.06
5.2 	 0.22
5.3 	 0.35
5.4 	 0.44
5.5 	 0.48
5.6 	 0.46
5.7 	 0.39
5.8 	 0.28
5.9 	 0.14
6.0 	 -0.02
6.1 	 -0.17
6.2 	 -0.29
6.3 	 -0.39
6.4 	 -0.43
6.5 	 -0.43
6.6 	 -0.37
6.7 	 -0.28
6.8 	 -0.15
6.9 	 -0.01
7.0 	 0.12
7.1 	 0.25
7.2 	 0.34
7.3 	 0.39
7.4 	 0.39
7.5 	 0.35
7.6 	 0.28
7.7 	 0.17
7.8 	 0.04
7.9 	 -0.09
8.0 	 -0.2
8.1 	 -0.29
8.2 	 -0.35
8.3 	 -0.36
8.4 	 -0.33
8.5 	 -0.27
8.6 	 -0.17
8.7 	 -0.06
8.8 	 0.06
8.9 	 0.16
9.0 	 0.25
9.1 	 0.31
9.2 	 0.33
9.3 	 0.31
9.4 	 0.26
9.5 	 0.18
9.6 	 0.08
9.7 	 -0.03
9.8 	 -0.13
9.9 	 -0.22
10.0 	 -0.27
