omega = 3.29 	 gamma = 0.1 	 theta_0 = 0.65
time 	 angle
0.0 	 0.65
0.1 	 0.61
0.2 	 0.5
0.3 	 0.35
0.4 	 0.16
0.5 	 -0.05
0.6 	 -0.24
0.7 	 -0.41
0.8 	 -0.52
0.9 	 -0.58
1.0 	 -0.58
1.1 	 -0.52
1.2 	 -0.4
1.3 	 -0.24
1.4 	 -0.06
1.5 	 0.12
1.6 	 0.29
1.7 	 0.42
1.8 	 0.51
1.9 	 0.54
2.0 	 0.51
2.1 	 0.43
2.2 	 0.3
2.3 	 0.15
2.4 	 -0.02
2.5 	 -0.18
2.6 	 -0.32
2.7 	 -0.43
2.8 	 -0.48
2.9 	 -0.48
3.0 	 -0.43
3.1 	 -0.34
3.2 	 -0.21
3.3 	 -0.06
3.4 	 0.09
3.5 	 0.23
3.6 	 0.34
3.7 	 0.41
3.8 	 0.44
3.9 	 0.42
4.0 	 0.36
4.1 	 0.26
4.2 	 0.13
4.3 	 -0.0
4.4 	 -0.14
4.5 	 -0.26
4.6 	 -0.34
4.7 	 -0.39
4.8 	 -0.4
4.9 	 -0.36
5.0 	 -0.29
5.1 	 -0.19
5.2 	 -0.07
5.3 	 0.06
5.4 	 0.18
5.5 	 0.27
5.6 	 0.34
5.7 	 0.37
5.8 	 0.35
5.9 	 0.31
6.0 	 0.22
6.1 	 0.12
6.2 	 0.01
6.3 	 -0.1
6.4 	 -0.2
6.5 	 -0.28
6.6 	 -0.32
6.7 	 -0.33
6.8 	 -0.31
6.9 	 -0.25
7.0 	 -0.16
7.1 	 -0.06
7.2 	 0.04
7.3 	 0.14
7.4 	 0.22
7.5 	 0.28
7.6 	 0.3
7.7 	 0.29
7.8 	 0.26
7.9 	 0.19
8.0 	 0.11
8.1 	 0.02
8.2 	 -0.08
8.3 	 -0.16
8.4 	 -0.23
8.5 	 -0.26
8.6 	 -0.28
8.7 	 -0.26
8.8 	 -0.21
8.9 	 -0.14
9.0 	 -0.06
9.1 	 0.02
9.2 	 0.11
9.3 	 0.18
9.4 	 0.22
9.5 	 0.25
9.6 	 0.25
9.7 	 0.22
9.8 	 0.17
9.9 	 0.1
10.0 	 0.02
