omega = 2.86 	 gamma = 0.06 	 theta_0 = 0.95
time 	 angle
0.0 	 0.95
0.1 	 0.91
0.2 	 0.79
0.3 	 0.61
0.4 	 0.38
0.5 	 0.13
0.6 	 -0.13
0.7 	 -0.38
0.8 	 -0.6
0.9 	 -0.76
1.0 	 -0.86
1.1 	 -0.89
1.2 	 -0.85
1.3 	 -0.74
1.4 	 -0.57
1.5 	 -0.36
1.6 	 -0.12
1.7 	 0.13
1.8 	 0.36
1.9 	 0.56
2.0 	 0.71
2.1 	 0.81
2.2 	 0.83
2.3 	 0.79
2.4 	 0.69
2.5 	 0.53
2.6 	 0.33
2.7 	 0.11
2.8 	 -0.12
2.9 	 -0.34
3.0 	 -0.53
3.1 	 -0.67
3.2 	 -0.76
3.3 	 -0.78
3.4 	 -0.74
3.5 	 -0.64
3.6 	 -0.49
3.7 	 -0.31
3.8 	 -0.1
3.9 	 0.12
4.0 	 0.32
4.1 	 0.5
4.2 	 0.63
4.3 	 0.71
4.4 	 0.73
4.5 	 0.69
4.6 	 0.6
4.7 	 0.46
4.8 	 0.28
4.9 	 0.09
5.0 	 -0.11
5.1 	 -0.3
5.2 	 -0.47
5.3 	 -0.59
5.4 	 -0.66
5.5 	 -0.68
5.6 	 -0.65
5.7 	 -0.56
5.8 	 -0.43
5.9 	 -0.26
6.0 	 -0.08
6.1 	 0.11
6.2 	 0.29
6.3 	 0.44
6.4 	 0.55
6.5 	 0.62
6.6 	 0.64
6.7 	 0.6
6.8 	 0.52
6.9 	 0.4
7.0 	 0.24
7.1 	 0.07
7.2 	 -0.11
7.3 	 -0.27
7.4 	 -0.41
7.5 	 -0.52
7.6 	 -0.58
7.7 	 -0.6
7.8 	 -0.57
7.9 	 -0.49
8.0 	 -0.37
8.1 	 -0.23
8.2 	 -0.06
8.3 	 0.1
8.4 	 0.26
8.5 	 0.39
8.6 	 0.49
8.7 	 0.55
8.8 	 0.56
8.9 	 0.53
9.0 	 0.45
9.1 	 0.34
9.2 	 0.21
9.3 	 0.06
9.4 	 -0.1
9.5 	 -0.24
9.6 	 -0.36
9.7 	 -0.46
9.8 	 -0.51
9.9 	 -0.52
10.0 	 -0.49
