omega = 3.36 	 gamma = 0.08 	 theta_0 = 0.73
time 	 angle
0.0 	 0.73
0.1 	 0.68
0.2 	 0.56
0.3 	 0.38
0.4 	 0.16
0.5 	 -0.08
0.6 	 -0.3
0.7 	 -0.49
0.8 	 -0.62
0.9 	 -0.67
1.0 	 -0.66
1.1 	 -0.57
1.2 	 -0.42
1.3 	 -0.22
1.4 	 -0.01
1.5 	 0.21
1.6 	 0.4
1.7 	 0.54
1.8 	 0.61
1.9 	 0.62
2.0 	 0.56
2.1 	 0.44
2.2 	 0.27
2.3 	 0.08
2.4 	 -0.13
2.5 	 -0.31
2.6 	 -0.46
2.7 	 -0.55
2.8 	 -0.58
2.9 	 -0.55
3.0 	 -0.46
3.1 	 -0.31
3.2 	 -0.14
3.3 	 0.05
3.4 	 0.23
3.5 	 0.38
3.6 	 0.49
3.7 	 0.54
3.8 	 0.53
3.9 	 0.46
4.0 	 0.34
4.1 	 0.19
4.2 	 0.01
4.3 	 -0.16
4.4 	 -0.31
4.5 	 -0.42
4.6 	 -0.49
4.7 	 -0.5
4.8 	 -0.45
4.9 	 -0.36
5.0 	 -0.23
5.1 	 -0.07
5.2 	 0.09
5.3 	 0.24
5.4 	 0.36
5.5 	 0.44
5.6 	 0.47
5.7 	 0.44
5.8 	 0.37
5.9 	 0.26
6.0 	 0.12
6.1 	 -0.03
6.2 	 -0.18
6.3 	 -0.3
6.4 	 -0.39
6.5 	 -0.43
6.6 	 -0.42
6.7 	 -0.37
6.8 	 -0.28
6.9 	 -0.16
7.0 	 -0.02
7.1 	 0.12
7.2 	 0.24
7.3 	 0.33
7.4 	 0.39
7.5 	 0.4
7.6 	 0.37
7.7 	 0.29
7.8 	 0.19
7.9 	 0.06
8.0 	 -0.07
8.1 	 -0.19
8.2 	 -0.28
8.3 	 -0.35
8.4 	 -0.37
8.5 	 -0.35
8.6 	 -0.3
8.7 	 -0.21
8.8 	 -0.1
8.9 	 0.02
9.0 	 0.14
9.1 	 0.24
9.2 	 0.31
9.3 	 0.34
9.4 	 0.34
9.5 	 0.3
9.6 	 0.23
9.7 	 0.13
9.8 	 0.02
9.9 	 -0.09
10.0 	 -0.19
