omega = 2.81 	 gamma = 0.14 	 theta_0 = 0.81
time 	 angle
0.0 	 0.81
0.1 	 0.77
0.2 	 0.67
0.3 	 0.52
0.4 	 0.33
0.5 	 0.12
0.6 	 -0.09
0.7 	 -0.28
0.8 	 -0.45
0.9 	 -0.58
1.0 	 -0.67
1.1 	 -0.69
1.2 	 -0.67
1.3 	 -0.59
1.4 	 -0.47
1.5 	 -0.31
1.6 	 -0.14
1.7 	 0.04
1.8 	 0.21
1.9 	 0.36
2.0 	 0.48
2.1 	 0.56
2.2 	 0.59
2.3 	 0.58
2.4 	 0.52
2.5 	 0.42
2.6 	 0.29
2.7 	 0.15
2.8 	 -0.01
2.9 	 -0.16
3.0 	 -0.29
3.1 	 -0.4
3.2 	 -0.47
3.3 	 -0.5
3.4 	 -0.5
3.5 	 -0.46
3.6 	 -0.38
3.7 	 -0.27
3.8 	 -0.15
3.9 	 -0.02
4.0 	 0.11
4.1 	 0.23
4.2 	 0.32
4.3 	 0.39
4.4 	 0.43
4.5 	 0.43
4.6 	 0.4
4.7 	 0.34
4.8 	 0.25
4.9 	 0.15
5.0 	 0.04
5.1 	 -0.08
5.2 	 -0.18
5.3 	 -0.26
5.4 	 -0.33
5.5 	 -0.36
5.6 	 -0.37
5.7 	 -0.35
5.8 	 -0.3
5.9 	 -0.23
6.0 	 -0.14
6.1 	 -0.05
6.2 	 0.05
6.3 	 0.14
6.4 	 0.21
6.5 	 0.27
6.6 	 0.31
6.7 	 0.32
6.8 	 0.3
6.9 	 0.26
7.0 	 0.21
7.1 	 0.14
7.2 	 0.06
7.3 	 -0.03
7.4 	 -0.1
7.5 	 -0.17
7.6 	 -0.23
7.7 	 -0.26
7.8 	 -0.27
7.9 	 -0.26
8.0 	 -0.23
8.1 	 -0.19
8.2 	 -0.13
8.3 	 -0.06
8.4 	 0.01
8.5 	 0.08
8.6 	 0.14
8.7 	 0.19
8.8 	 0.22
8.9 	 0.23
9.0 	 0.23
9.1 	 0.21
9.2 	 0.17
9.3 	 0.12
9.4 	 0.06
9.5 	 0.0
9.6 	 -0.06
9.7 	 -0.11
9.8 	 -0.15
9.9 	 -0.18
10.0 	 -0.2
