omega = 3.29 	 gamma = 0.09 	 theta_0 = 0.73
time 	 angle
0.0 	 0.73
0.1 	 0.68
0.2 	 0.57
0.3 	 0.39
0.4 	 0.18
0.5 	 -0.05
0.6 	 -0.27
0.7 	 -0.46
0.8 	 -0.59
0.9 	 -0.66
1.0 	 -0.66
1.1 	 -0.59
1.2 	 -0.45
1.3 	 -0.27
1.4 	 -0.07
1.5 	 0.14
1.6 	 0.33
1.7 	 0.48
1.8 	 0.58
1.9 	 0.61
2.0 	 0.58
2.1 	 0.49
2.2 	 0.35
2.3 	 0.17
2.4 	 -0.02
2.5 	 -0.21
2.6 	 -0.37
2.7 	 -0.49
2.8 	 -0.55
2.9 	 -0.56
3.0 	 -0.5
3.1 	 -0.39
3.2 	 -0.25
3.3 	 -0.07
3.4 	 0.1
3.5 	 0.26
3.6 	 0.4
3.7 	 0.48
3.8 	 0.52
3.9 	 0.5
4.0 	 0.42
4.1 	 0.3
4.2 	 0.16
4.3 	 -0.0
4.4 	 -0.16
4.5 	 -0.3
4.6 	 -0.41
4.7 	 -0.46
4.8 	 -0.47
4.9 	 -0.43
5.0 	 -0.34
5.1 	 -0.22
5.2 	 -0.08
5.3 	 0.07
5.4 	 0.21
5.5 	 0.32
5.6 	 0.4
5.7 	 0.44
5.8 	 0.42
5.9 	 0.36
6.0 	 0.27
6.1 	 0.15
6.2 	 0.01
6.3 	 -0.12
6.4 	 -0.24
6.5 	 -0.33
6.6 	 -0.39
6.7 	 -0.4
6.8 	 -0.37
6.9 	 -0.3
7.0 	 -0.2
7.1 	 -0.08
7.2 	 0.05
7.3 	 0.17
7.4 	 0.26
7.5 	 0.33
7.6 	 0.37
7.7 	 0.36
7.8 	 0.31
7.9 	 0.23
8.0 	 0.13
8.1 	 0.02
8.2 	 -0.09
8.3 	 -0.2
8.4 	 -0.28
8.5 	 -0.32
8.6 	 -0.34
8.7 	 -0.31
8.8 	 -0.26
8.9 	 -0.18
9.0 	 -0.08
9.1 	 0.03
9.2 	 0.13
9.3 	 0.22
9.4 	 0.28
9.5 	 0.31
9.6 	 0.3
9.7 	 0.27
9.8 	 0.2
9.9 	 0.12
10.0 	 0.03
