omega = 3.14 	 gamma = 0.08 	 theta_0 = 0.71
time 	 angle
0.0 	 0.71
0.1 	 0.67
0.2 	 0.57
0.3 	 0.41
0.4 	 0.21
0.5 	 0.0
0.6 	 -0.21
0.7 	 -0.39
0.8 	 -0.54
0.9 	 -0.63
1.0 	 -0.66
1.1 	 -0.62
1.2 	 -0.52
1.3 	 -0.38
1.4 	 -0.2
1.5 	 -0.0
1.6 	 0.19
1.7 	 0.36
1.8 	 0.5
1.9 	 0.58
2.0 	 0.61
2.1 	 0.57
2.2 	 0.48
2.3 	 0.35
2.4 	 0.18
2.5 	 0.0
2.6 	 -0.18
2.7 	 -0.33
2.8 	 -0.46
2.9 	 -0.53
3.0 	 -0.56
3.1 	 -0.53
3.2 	 -0.45
3.3 	 -0.32
3.4 	 -0.17
3.5 	 -0.0
3.6 	 0.16
3.7 	 0.31
3.8 	 0.42
3.9 	 0.49
4.0 	 0.52
4.1 	 0.49
4.2 	 0.41
4.3 	 0.3
4.4 	 0.16
4.5 	 0.0
4.6 	 -0.15
4.7 	 -0.28
4.8 	 -0.39
4.9 	 -0.46
5.0 	 -0.48
5.1 	 -0.45
5.2 	 -0.38
5.3 	 -0.28
5.4 	 -0.15
5.5 	 -0.0
5.6 	 0.14
5.7 	 0.26
5.8 	 0.36
5.9 	 0.42
6.0 	 0.44
6.1 	 0.42
6.2 	 0.35
6.3 	 0.26
6.4 	 0.14
6.5 	 0.0
6.6 	 -0.13
6.7 	 -0.24
6.8 	 -0.33
6.9 	 -0.39
7.0 	 -0.41
7.1 	 -0.38
7.2 	 -0.33
7.3 	 -0.24
7.4 	 -0.13
7.5 	 -0.0
7.6 	 0.11
7.7 	 0.22
7.8 	 0.3
7.9 	 0.36
8.0 	 0.37
8.1 	 0.35
8.2 	 0.3
8.3 	 0.22
8.4 	 0.12
8.5 	 0.0
8.6 	 -0.11
8.7 	 -0.2
8.8 	 -0.28
8.9 	 -0.33
9.0 	 -0.35
9.1 	 -0.33
9.2 	 -0.28
9.3 	 -0.2
9.4 	 -0.11
9.5 	 -0.01
9.6 	 0.1
9.7 	 0.19
9.8 	 0.26
9.9 	 0.3
10.0 	 0.32
