omega = 3.08 	 gamma = 0.12 	 theta_0 = 0.52
time 	 angle
0.0 	 0.52
0.1 	 0.49
0.2 	 0.41
0.3 	 0.3
0.4 	 0.16
0.5 	 0.02
0.6 	 -0.13
0.7 	 -0.26
0.8 	 -0.37
0.9 	 -0.44
1.0 	 -0.46
1.1 	 -0.44
1.2 	 -0.38
1.3 	 -0.29
1.4 	 -0.17
1.5 	 -0.04
1.6 	 0.09
1.7 	 0.21
1.8 	 0.31
1.9 	 0.38
2.0 	 0.41
2.1 	 0.4
2.2 	 0.35
2.3 	 0.27
2.4 	 0.17
2.5 	 0.06
2.6 	 -0.06
2.7 	 -0.17
2.8 	 -0.26
2.9 	 -0.32
3.0 	 -0.36
3.1 	 -0.36
3.2 	 -0.32
3.3 	 -0.26
3.4 	 -0.17
3.5 	 -0.07
3.6 	 0.03
3.7 	 0.13
3.8 	 0.21
3.9 	 0.28
4.0 	 0.31
4.1 	 0.32
4.2 	 0.29
4.3 	 0.24
4.4 	 0.17
4.5 	 0.08
4.6 	 -0.01
4.7 	 -0.1
4.8 	 -0.18
4.9 	 -0.24
5.0 	 -0.27
5.1 	 -0.28
5.2 	 -0.27
5.3 	 -0.22
5.4 	 -0.16
5.5 	 -0.09
5.6 	 -0.01
5.7 	 0.07
5.8 	 0.14
5.9 	 0.2
6.0 	 0.24
6.1 	 0.25
6.2 	 0.24
6.3 	 0.21
6.4 	 0.16
6.5 	 0.09
6.6 	 0.02
6.7 	 -0.05
6.8 	 -0.11
6.9 	 -0.17
7.0 	 -0.2
7.1 	 -0.22
7.2 	 -0.22
7.3 	 -0.19
7.4 	 -0.15
7.5 	 -0.09
7.6 	 -0.03
7.7 	 0.03
7.8 	 0.09
7.9 	 0.14
8.0 	 0.18
8.1 	 0.19
8.2 	 0.19
8.3 	 0.17
8.4 	 0.14
8.5 	 0.09
8.6 	 0.04
8.7 	 -0.02
8.8 	 -0.07
8.9 	 -0.12
9.0 	 -0.15
9.1 	 -0.17
9.2 	 -0.17
9.3 	 -0.16
9.4 	 -0.13
9.5 	 -0.09
9.6 	 -0.04
9.7 	 0.01
9.8 	 0.05
9.9 	 0.1
10.0 	 0.13
