omega = 3.34 	 gamma = 0.07 	 theta_0 = 0.53
time 	 angle
0.0 	 0.53
0.1 	 0.5
0.2 	 0.41
0.3 	 0.28
0.4 	 0.12
0.5 	 -0.05
0.6 	 -0.21
0.7 	 -0.35
0.8 	 -0.45
0.9 	 -0.49
1.0 	 ERR
1.1 	 -0.42
1.2 	 -0.32
1.3 	 -0.18
1.4 	 -0.02
1.5 	 0.14
ERR 	 0.28
ERR 	 0.39
1.8 	 ERR
1.9 	 0.46
2.0 	 0.42
ERR 	 0.34
2.2 	 0.22
2.3 	 0.08
2.4 	 -0.07
2.5 	 -0.21
2.6 	 -0.33
2.7 	 -0.4
2.8 	 -0.43
2.9 	 -0.42
3.0 	 -0.36
3.1 	 -0.26
3.2 	 -0.13
ERR 	 ERR
3.4 	 0.15
3.5 	 0.27
3.6 	 0.35
3.7 	 0.4
3.8 	 ERR
3.9 	 0.36
ERR 	 ERR
4.1 	 0.17
4.2 	 0.04
4.3 	 -0.09
4.4 	 ERR
4.5 	 -0.3
4.6 	 -0.36
4.7 	 -0.38
4.8 	 -0.36
4.9 	 -0.3
5.0 	 -0.2
5.1 	 -0.09
5.2 	 0.03
5.3 	 0.15
5.4 	 0.25
5.5 	 0.32
5.6 	 0.35
5.7 	 ERR
ERR 	 0.31
5.9 	 0.23
6.0 	 0.13
ERR 	 0.02
ERR 	 -0.1
6.3 	 -0.2
6.4 	 -0.28
6.5 	 -0.32
6.6 	 -0.33
ERR 	 -0.31
6.8 	 -0.25
6.9 	 -0.16
7.0 	 -0.06
7.1 	 0.05
7.2 	 0.15
7.3 	 0.23
7.4 	 0.29
7.5 	 0.31
7.6 	 0.3
7.7 	 0.26
7.8 	 ERR
7.9 	 0.1
8.0 	 -0.0
8.1 	 -0.1
8.2 	 -0.19
8.3 	 -0.25
8.4 	 -0.29
8.5 	 -0.29
ERR 	 -0.26
8.7 	 -0.2
8.8 	 -0.13
8.9 	 -0.03
9.0 	 0.06
9.1 	 0.15
9.2 	 ERR
9.3 	 0.26
9.4 	 0.27
9.5 	 0.26
9.6 	 0.22
9.7 	 0.15
ERR 	 0.07
9.9 	 ERR
10.0 	 -0.11
