omega = 2.6 	 gamma = 0.09 	 theta_0 = 0.94
time 	 angle
0.0 	 0.94
0.1 	 0.9
0.2 	 0.8
0.3 	 0.65
0.4 	 0.46
0.5 	 0.24
0.6 	 0.01
0.7 	 -0.22
0.8 	 -0.43
0.9 	 -0.6
1.0 	 -0.74
1.1 	 -0.82
1.2 	 -0.84
1.3 	 -0.81
1.4 	 -0.73
1.5 	 -0.6
1.6 	 -0.43
1.7 	 -0.23
1.8 	 -0.03
1.9 	 0.18
2.0 	 0.37
2.1 	 0.53
2.2 	 0.65
2.3 	 0.73
2.4 	 0.76
2.5 	 0.73
2.6 	 0.66
2.7 	 0.55
2.8 	 0.4
2.9 	 0.22
3.0 	 0.04
3.1 	 -0.15
3.2 	 -0.32
3.3 	 -0.46
3.4 	 -0.58
3.5 	 -0.65
3.6 	 -0.68
3.7 	 -0.66
3.8 	 -0.6
3.9 	 -0.5
4.0 	 -0.37
4.1 	 -0.21
4.2 	 -0.05
4.3 	 0.12
4.4 	 0.27
4.5 	 0.41
4.6 	 0.51
4.7 	 0.58
4.8 	 0.61
4.9 	 0.6
5.0 	 0.54
5.1 	 0.46
5.2 	 0.34
5.3 	 0.2
5.4 	 0.06
5.5 	 -0.09
5.6 	 -0.23
5.7 	 -0.36
5.8 	 -0.45
5.9 	 -0.52
6.0 	 -0.54
6.1 	 -0.54
6.2 	 -0.49
6.3 	 -0.42
6.4 	 -0.32
6.5 	 -0.19
6.6 	 -0.06
6.7 	 0.07
6.8 	 0.2
6.9 	 0.31
7.0 	 0.4
7.1 	 0.46
7.2 	 0.49
7.3 	 0.48
7.4 	 0.45
7.5 	 0.38
7.6 	 0.29
7.7 	 0.18
7.8 	 0.07
7.9 	 -0.06
8.0 	 -0.17
8.1 	 -0.27
8.2 	 -0.35
8.3 	 -0.41
8.4 	 -0.44
8.5 	 -0.43
8.6 	 -0.4
8.7 	 -0.35
8.8 	 -0.27
8.9 	 -0.17
9.0 	 -0.07
9.1 	 0.04
9.2 	 0.14
9.3 	 0.24
9.4 	 0.31
9.5 	 0.36
9.6 	 0.39
9.7 	 0.39
9.8 	 0.37
9.9 	 0.32
10.0 	 0.25
