omega = 2.96 	 gamma = 0.12 	 theta_0 = 0.66
time 	 angle
0.0 	 0.66
0.1 	 0.62
0.2 	 0.53
0.3 	 0.4
0.4 	 0.24
0.5 	 0.06
0.6 	 -0.13
0.7 	 -0.29
0.8 	 -0.43
0.9 	 -0.53
1.0 	 -0.58
1.1 	 -0.57
1.2 	 -0.52
1.3 	 -0.43
1.4 	 -0.3
1.5 	 -0.15
1.6 	 0.01
1.7 	 0.17
1.8 	 0.31
1.9 	 0.42
2.0 	 0.49
2.1 	 0.51
2.2 	 0.49
2.3 	 0.43
2.4 	 0.34
2.5 	 0.21
2.6 	 0.08
2.7 	 -0.07
2.8 	 -0.2
2.9 	 -0.31
3.0 	 -0.39
3.1 	 -0.44
3.2 	 -0.45
3.3 	 -0.42
3.4 	 -0.35
3.5 	 -0.26
3.6 	 -0.14
3.7 	 -0.02
3.8 	 0.1
3.9 	 0.22
4.0 	 0.31
4.1 	 0.37
4.2 	 0.4
4.3 	 0.39
4.4 	 0.35
4.5 	 0.28
4.6 	 0.19
4.7 	 0.08
4.8 	 -0.03
4.9 	 -0.13
5.0 	 -0.22
5.1 	 -0.29
5.2 	 -0.34
5.3 	 -0.35
5.4 	 -0.33
5.5 	 -0.29
5.6 	 -0.22
5.7 	 -0.13
5.8 	 -0.04
5.9 	 0.06
6.0 	 0.15
6.1 	 0.22
6.2 	 0.28
6.3 	 0.3
6.4 	 0.3
6.5 	 0.28
6.6 	 0.23
6.7 	 0.16
6.8 	 0.08
6.9 	 -0.0
7.0 	 -0.08
7.1 	 -0.16
7.2 	 -0.22
7.3 	 -0.25
7.4 	 -0.27
7.5 	 -0.26
7.6 	 -0.23
7.7 	 -0.18
7.8 	 -0.12
7.9 	 -0.05
8.0 	 0.03
8.1 	 0.1
8.2 	 0.16
8.3 	 0.21
8.4 	 0.23
8.5 	 0.24
8.6 	 0.22
8.7 	 0.19
8.8 	 0.14
8.9 	 0.08
9.0 	 0.01
9.1 	 -0.05
9.2 	 -0.11
9.3 	 -0.16
9.4 	 -0.19
9.5 	 -0.21
9.6 	 -0.21
9.7 	 -0.19
9.8 	 -0.15
9.9 	 -0.1
10.0 	 -0.05
