omega = 2.91 	 gamma = 0.07 	 theta_0 = 0.97
time 	 angle
0.0 	 0.97
0.1 	 0.92
0.2 	 0.8
0.3 	 0.61
0.4 	 0.37
0.5 	 0.11
0.6 	 -0.16
0.7 	 -0.42
0.8 	 -0.63
0.9 	 -0.79
1.0 	 -0.88
1.1 	 -0.9
1.2 	 -0.84
1.3 	 -0.71
1.4 	 -0.52
1.5 	 -0.3
1.6 	 -0.05
1.7 	 0.2
1.8 	 0.43
1.9 	 0.62
2.0 	 0.75
2.1 	 0.83
2.2 	 0.83
2.3 	 0.76
2.4 	 0.63
2.5 	 0.45
2.6 	 0.23
2.7 	 -0.0
2.8 	 -0.23
2.9 	 -0.44
3.0 	 -0.6
3.1 	 -0.72
3.2 	 -0.77
3.3 	 -0.76
3.4 	 -0.68
3.5 	 -0.55
3.6 	 -0.37
3.7 	 -0.17
3.8 	 0.05
3.9 	 0.26
4.0 	 0.44
4.1 	 0.59
4.2 	 0.68
4.3 	 0.72
4.4 	 0.69
4.5 	 0.61
4.6 	 0.48
4.7 	 0.31
4.8 	 0.12
4.9 	 -0.08
5.0 	 -0.27
5.1 	 -0.44
5.2 	 -0.57
5.3 	 -0.64
5.4 	 -0.66
5.5 	 -0.63
5.6 	 -0.55
5.7 	 -0.42
5.8 	 -0.25
5.9 	 -0.07
6.0 	 0.11
6.1 	 0.29
6.2 	 0.43
6.3 	 0.54
6.4 	 0.6
6.5 	 0.61
6.6 	 0.57
6.7 	 0.48
6.8 	 0.36
6.9 	 0.2
7.0 	 0.03
7.1 	 -0.14
7.2 	 -0.3
7.3 	 -0.43
7.4 	 -0.52
7.5 	 -0.57
7.6 	 -0.57
7.7 	 -0.52
7.8 	 -0.43
7.9 	 -0.3
8.0 	 -0.15
8.1 	 0.0
8.2 	 0.16
8.3 	 0.3
8.4 	 0.42
8.5 	 0.49
8.6 	 0.53
8.7 	 0.52
8.8 	 0.47
8.9 	 0.37
9.0 	 0.25
9.1 	 0.11
9.2 	 -0.03
9.3 	 -0.18
9.4 	 -0.3
9.5 	 -0.4
9.6 	 -0.47
9.7 	 -0.49
9.8 	 -0.47
9.9 	 -0.42
10.0 	 -0.33
