omega = 2.75 	 gamma = 0.11 	 theta_0 = 0.78
time 	 angle
0.0 	 0.78
0.1 	 0.74
0.2 	 0.65
0.3 	 0.51
0.4 	 0.34
0.5 	 0.14
0.6 	 -0.06
0.7 	 -0.25
0.8 	 -0.42
0.9 	 -0.56
1.0 	 -0.65
1.1 	 -0.69
1.2 	 -0.67
1.3 	 -0.61
1.4 	 -0.51
1.5 	 -0.37
1.6 	 -0.2
1.7 	 -0.02
1.8 	 0.15
1.9 	 0.31
2.0 	 0.44
2.1 	 0.54
2.2 	 0.6
2.3 	 0.61
2.4 	 0.57
2.5 	 0.49
2.6 	 0.38
2.7 	 0.24
2.8 	 0.09
2.9 	 -0.07
3.0 	 -0.22
3.1 	 -0.34
3.2 	 -0.44
3.3 	 -0.51
3.4 	 -0.54
3.5 	 -0.52
3.6 	 -0.47
3.7 	 -0.38
3.8 	 -0.27
3.9 	 -0.14
4.0 	 0.0
4.1 	 0.14
4.2 	 0.26
4.3 	 0.36
4.4 	 0.43
4.5 	 0.47
4.6 	 0.47
4.7 	 0.44
4.8 	 0.37
4.9 	 0.28
5.0 	 0.17
5.1 	 0.05
5.2 	 -0.07
5.3 	 -0.18
5.4 	 -0.28
5.5 	 -0.36
5.6 	 -0.4
5.7 	 -0.42
5.8 	 -0.4
5.9 	 -0.35
6.0 	 -0.28
6.1 	 -0.19
6.2 	 -0.09
6.3 	 0.02
6.4 	 0.12
6.5 	 0.21
6.6 	 0.29
6.7 	 0.34
6.8 	 0.37
6.9 	 0.36
7.0 	 0.33
7.1 	 0.28
7.2 	 0.21
7.3 	 0.12
7.4 	 0.02
7.5 	 -0.07
7.6 	 -0.16
7.7 	 -0.23
7.8 	 -0.28
7.9 	 -0.32
8.0 	 -0.32
8.1 	 -0.31
8.2 	 -0.27
8.3 	 -0.21
8.4 	 -0.14
8.5 	 -0.06
8.6 	 0.03
8.7 	 0.11
8.8 	 0.18
8.9 	 0.23
9.0 	 0.27
9.1 	 0.28
9.2 	 0.28
9.3 	 0.25
9.4 	 0.21
9.5 	 0.15
9.6 	 0.08
9.7 	 0.01
9.8 	 -0.06
9.9 	 -0.13
10.0 	 -0.19
