omega = 3.35 	 gamma = 0.08 	 theta_0 = 0.54
time 	 angle
0.0 	 0.54
0.1 	 0.51
0.2 	 0.42
0.3 	 0.28
0.4 	 0.12
0.5 	 -0.05
0.6 	 -0.22
0.7 	 -0.36
0.8 	 -0.45
0.9 	 -0.5
1.0 	 -0.49
1.1 	 -0.42
1.2 	 -0.31
1.3 	 -0.17
1.4 	 -0.01
1.5 	 0.15
1.6 	 0.29
1.7 	 0.39
1.8 	 0.45
1.9 	 0.46
2.0 	 0.42
2.1 	 0.33
2.2 	 0.21
2.3 	 0.07
2.4 	 -0.08
2.5 	 -0.22
2.6 	 -0.33
2.7 	 -0.4
2.8 	 -0.43
2.9 	 -0.41
3.0 	 -0.34
3.1 	 -0.24
3.2 	 -0.11
3.3 	 0.02
3.4 	 0.16
3.5 	 0.27
3.6 	 0.35
3.7 	 0.4
3.8 	 0.39
3.9 	 0.35
4.0 	 0.26
4.1 	 0.15
4.2 	 0.03
4.3 	 -0.1
4.4 	 -0.22
4.5 	 -0.3
4.6 	 -0.36
4.7 	 -0.37
4.8 	 -0.34
4.9 	 -0.28
5.0 	 -0.18
5.1 	 -0.07
5.2 	 0.05
5.3 	 0.16
5.4 	 0.25
5.5 	 0.32
5.6 	 0.34
5.7 	 0.33
5.8 	 0.28
5.9 	 0.21
6.0 	 0.11
6.1 	 -0.0
6.2 	 -0.11
6.3 	 -0.21
6.4 	 -0.28
6.5 	 -0.31
6.6 	 -0.32
6.7 	 -0.28
6.8 	 -0.22
6.9 	 -0.13
7.0 	 -0.03
7.1 	 0.07
7.2 	 0.16
7.3 	 0.23
7.4 	 0.28
7.5 	 0.3
7.6 	 0.28
7.7 	 0.23
7.8 	 0.16
7.9 	 0.07
8.0 	 -0.03
8.1 	 -0.12
8.2 	 -0.19
8.3 	 -0.25
8.4 	 -0.27
8.5 	 -0.27
8.6 	 -0.23
8.7 	 -0.17
8.8 	 -0.1
8.9 	 -0.01
9.0 	 0.08
9.1 	 0.16
9.2 	 0.21
9.3 	 0.25
9.4 	 0.25
9.5 	 0.23
9.6 	 0.18
9.7 	 0.12
9.8 	 0.04
9.9 	 -0.04
10.0 	 -0.12
