omega = 2.73 	 gamma = 0.06 	 theta_0 = 0.73
time 	 angle
0.0 	 0.73
0.1 	 0.7
0.2 	 0.62
0.3 	 0.49
0.4 	 0.33
0.5 	 0.14
0.6 	 -0.05
0.7 	 -0.23
0.8 	 -0.4
0.9 	 -0.54
1.0 	 -0.63
1.1 	 -0.68
1.2 	 -0.67
1.3 	 -0.62
1.4 	 -0.52
1.5 	 -0.39
1.6 	 -0.22
1.7 	 -0.05
1.8 	 0.13
1.9 	 0.3
2.0 	 0.44
2.1 	 0.55
2.2 	 0.62
2.3 	 0.64
2.4 	 0.61
2.5 	 0.54
2.6 	 0.43
2.7 	 0.29
2.8 	 0.13
2.9 	 -0.04
3.0 	 -0.2
3.1 	 -0.35
3.2 	 -0.47
3.3 	 -0.55
3.4 	 -0.59
3.5 	 -0.59
3.6 	 -0.54
3.7 	 -0.46
3.8 	 -0.34
3.9 	 -0.2
4.0 	 -0.04
4.1 	 0.11
4.2 	 0.26
4.3 	 0.38
4.4 	 0.48
4.5 	 0.54
4.6 	 0.55
4.7 	 0.53
4.8 	 0.47
4.9 	 0.37
5.0 	 0.25
5.1 	 0.11
5.2 	 -0.03
5.3 	 -0.17
5.4 	 -0.3
5.5 	 -0.4
5.6 	 -0.48
5.7 	 -0.51
5.8 	 -0.51
5.9 	 -0.47
6.0 	 -0.4
6.1 	 -0.3
6.2 	 -0.17
6.3 	 -0.04
6.4 	 0.1
6.5 	 0.22
6.6 	 0.33
6.7 	 0.41
6.8 	 0.47
6.9 	 0.48
7.0 	 0.46
7.1 	 0.41
7.2 	 0.33
7.3 	 0.22
7.4 	 0.1
7.5 	 -0.03
7.6 	 -0.15
7.7 	 -0.26
7.8 	 -0.35
7.9 	 -0.41
8.0 	 -0.45
8.1 	 -0.45
8.2 	 -0.41
8.3 	 -0.35
8.4 	 -0.26
8.5 	 -0.15
8.6 	 -0.04
8.7 	 0.08
8.8 	 0.19
8.9 	 0.29
9.0 	 0.36
9.1 	 0.41
9.2 	 0.42
9.3 	 0.4
9.4 	 0.36
9.5 	 0.29
9.6 	 0.2
9.7 	 0.09
9.8 	 -0.02
9.9 	 -0.13
10.0 	 -0.23
