omega = 3.0 	 gamma = 0.1 	 theta_0 = 0.73
time 	 angle
0.0 	 0.73
0.1 	 0.69
0.2 	 0.59
0.3 	 0.44
0.4 	 0.25
0.5 	 0.05
0.6 	 -0.16
0.7 	 -0.34
0.8 	 -0.5
0.9 	 -0.6
1.0 	 -0.65
1.1 	 -0.65
1.2 	 -0.58
1.3 	 -0.47
1.4 	 -0.31
1.5 	 -0.13
1.6 	 0.05
1.7 	 0.23
1.8 	 0.39
1.9 	 0.5
2.0 	 0.57
2.1 	 0.59
2.2 	 0.56
2.3 	 0.47
2.4 	 0.35
2.5 	 0.2
2.6 	 0.03
2.7 	 -0.14
2.8 	 -0.29
2.9 	 -0.41
3.0 	 -0.49
3.1 	 -0.53
3.2 	 -0.52
3.3 	 -0.47
3.4 	 -0.37
3.5 	 -0.24
3.6 	 -0.1
3.7 	 0.05
3.8 	 0.2
3.9 	 0.32
4.0 	 0.41
4.1 	 0.47
4.2 	 0.48
4.3 	 0.45
4.4 	 0.38
4.5 	 0.28
4.6 	 0.15
4.7 	 0.02
4.8 	 -0.12
4.9 	 -0.24
5.0 	 -0.34
5.1 	 -0.4
5.2 	 -0.43
5.3 	 -0.42
5.4 	 -0.37
5.5 	 -0.3
5.6 	 -0.19
5.7 	 -0.07
5.8 	 0.05
5.9 	 0.17
6.0 	 0.26
6.1 	 0.34
6.2 	 0.38
6.3 	 0.39
6.4 	 0.36
6.5 	 0.3
6.6 	 0.22
6.7 	 0.12
6.8 	 0.01
6.9 	 -0.1
7.0 	 -0.2
7.1 	 -0.28
7.2 	 -0.33
7.3 	 -0.35
7.4 	 -0.34
7.5 	 -0.3
7.6 	 -0.24
7.7 	 -0.15
7.8 	 -0.05
7.9 	 0.05
8.0 	 0.14
8.1 	 0.22
8.2 	 0.28
8.3 	 0.31
8.4 	 0.31
8.5 	 0.29
8.6 	 0.24
8.7 	 0.17
8.8 	 0.09
8.9 	 0.0
9.0 	 -0.09
9.1 	 -0.17
9.2 	 -0.23
9.3 	 -0.27
9.4 	 -0.28
9.5 	 -0.28
9.6 	 -0.24
9.7 	 -0.19
9.8 	 -0.12
9.9 	 -0.04
10.0 	 0.04
