omega = 2.8 	 gamma = 0.12 	 theta_0 = 0.76
time 	 angle
0.0 	 0.76
0.1 	 0.72
0.2 	 0.63
0.3 	 0.49
0.4 	 0.32
0.5 	 0.12
0.6 	 -0.08
0.7 	 -0.27
0.8 	 -0.43
0.9 	 -0.55
1.0 	 -0.64
1.1 	 -0.66
1.2 	 -0.64
1.3 	 -0.57
1.4 	 -0.46
1.5 	 -0.31
1.6 	 -0.14
1.7 	 0.03
1.8 	 0.2
1.9 	 0.35
2.0 	 0.46
2.1 	 0.54
2.2 	 0.58
2.3 	 0.57
2.4 	 0.52
2.5 	 0.42
2.6 	 0.3
2.7 	 0.16
2.8 	 0.01
2.9 	 -0.14
3.0 	 -0.28
3.1 	 -0.39
3.2 	 -0.46
3.3 	 -0.5
3.4 	 -0.5
3.5 	 -0.46
3.6 	 -0.39
3.7 	 -0.29
3.8 	 -0.17
3.9 	 -0.04
4.0 	 0.1
4.1 	 0.22
4.2 	 0.32
4.3 	 0.39
4.4 	 0.43
4.5 	 0.44
4.6 	 0.42
4.7 	 0.36
4.8 	 0.27
4.9 	 0.17
5.0 	 0.06
5.1 	 -0.06
5.2 	 -0.17
5.3 	 -0.26
5.4 	 -0.33
5.5 	 -0.37
5.6 	 -0.39
5.7 	 -0.37
5.8 	 -0.33
5.9 	 -0.26
6.0 	 -0.17
6.1 	 -0.07
6.2 	 0.03
6.3 	 0.13
6.4 	 0.21
6.5 	 0.28
6.6 	 0.32
6.7 	 0.34
6.8 	 0.33
6.9 	 0.3
7.0 	 0.24
7.1 	 0.17
7.2 	 0.08
7.3 	 -0.01
7.4 	 -0.09
7.5 	 -0.17
7.6 	 -0.23
7.7 	 -0.27
7.8 	 -0.29
7.9 	 -0.29
8.0 	 -0.27
8.1 	 -0.22
8.2 	 -0.16
8.3 	 -0.09
8.4 	 -0.01
8.5 	 0.06
8.6 	 0.13
8.7 	 0.19
8.8 	 0.23
8.9 	 0.26
9.0 	 0.26
9.1 	 0.24
9.2 	 0.2
9.3 	 0.15
9.4 	 0.09
9.5 	 0.03
9.6 	 -0.04
9.7 	 -0.1
9.8 	 -0.16
9.9 	 -0.2
10.0 	 -0.22
