omega = 3.11 	 gamma = 0.05 	 theta_0 = 0.93
time 	 angle
0.0 	 0.93
0.1 	 0.88
0.2 	 0.75
0.3 	 0.55
0.4 	 0.29
0.5 	 0.01
0.6 	 -0.26
0.7 	 -0.51
0.8 	 -0.71
0.9 	 -0.84
1.0 	 -0.88
1.1 	 -0.85
1.2 	 -0.73
1.3 	 -0.54
1.4 	 -0.3
1.5 	 -0.04
1.6 	 0.22
1.7 	 0.46
1.8 	 0.66
1.9 	 0.79
2.0 	 0.84
2.1 	 0.81
2.2 	 0.71
2.3 	 0.53
2.4 	 0.31
2.5 	 0.06
2.6 	 -0.19
2.7 	 -0.42
2.8 	 -0.61
2.9 	 -0.74
3.0 	 -0.8
3.1 	 -0.78
3.2 	 -0.68
3.3 	 -0.53
3.4 	 -0.32
3.5 	 -0.09
3.6 	 0.15
3.7 	 0.38
3.8 	 0.56
3.9 	 0.69
4.0 	 0.76
4.1 	 0.74
4.2 	 0.66
4.3 	 0.52
4.4 	 0.33
4.5 	 0.11
4.6 	 -0.12
4.7 	 -0.34
4.8 	 -0.52
4.9 	 -0.65
5.0 	 -0.72
5.1 	 -0.71
5.2 	 -0.64
5.3 	 -0.51
5.4 	 -0.33
5.5 	 -0.12
5.6 	 0.1
5.7 	 0.3
5.8 	 0.48
5.9 	 0.61
6.0 	 0.68
6.1 	 0.68
6.2 	 0.62
6.3 	 0.5
6.4 	 0.33
6.5 	 0.14
6.6 	 -0.07
6.7 	 -0.27
6.8 	 -0.44
6.9 	 -0.57
7.0 	 -0.64
7.1 	 -0.65
7.2 	 -0.6
7.3 	 -0.49
7.4 	 -0.33
7.5 	 -0.15
7.6 	 0.05
7.7 	 0.24
7.8 	 0.4
7.9 	 0.53
8.0 	 0.6
8.1 	 0.62
8.2 	 0.58
8.3 	 0.48
8.4 	 0.33
8.5 	 0.16
8.6 	 -0.03
8.7 	 -0.21
8.8 	 -0.37
8.9 	 -0.49
9.0 	 -0.57
9.1 	 -0.59
9.2 	 -0.55
9.3 	 -0.47
9.4 	 -0.33
9.5 	 -0.17
9.6 	 0.01
9.7 	 0.18
9.8 	 0.34
9.9 	 0.46
10.0 	 0.54
