omega = 3.49 	 gamma = 0.13 	 theta_0 = 0.51
time 	 angle
0.0 	 0.51
0.1 	 0.47
0.2 	 0.38
0.3 	 0.25
0.4 	 0.08
0.5 	 -0.08
0.6 	 -0.24
0.7 	 -0.36
0.8 	 -0.43
0.9 	 -0.45
1.0 	 -0.42
1.1 	 -0.34
1.2 	 -0.22
1.3 	 -0.08
1.4 	 0.07
1.5 	 0.21
1.6 	 0.32
1.7 	 0.38
1.8 	 0.4
1.9 	 0.37
2.0 	 0.3
2.1 	 0.19
2.2 	 0.07
2.3 	 -0.07
2.4 	 -0.19
2.5 	 -0.28
2.6 	 -0.34
2.7 	 -0.36
2.8 	 -0.33
2.9 	 -0.27
3.0 	 -0.17
3.1 	 -0.06
3.2 	 0.06
3.3 	 0.17
3.4 	 0.25
3.5 	 0.3
3.6 	 0.32
3.7 	 0.3
3.8 	 0.24
3.9 	 0.15
4.0 	 0.05
4.1 	 -0.05
4.2 	 -0.15
4.3 	 -0.22
4.4 	 -0.27
4.5 	 -0.28
4.6 	 -0.26
4.7 	 -0.21
4.8 	 -0.14
4.9 	 -0.05
5.0 	 0.05
5.1 	 0.13
5.2 	 0.2
5.3 	 0.24
5.4 	 0.25
5.5 	 0.23
5.6 	 0.19
5.7 	 0.12
5.8 	 0.04
5.9 	 -0.04
6.0 	 -0.12
6.1 	 -0.18
6.2 	 -0.21
6.3 	 -0.22
6.4 	 -0.21
6.5 	 -0.17
6.6 	 -0.11
6.7 	 -0.04
6.8 	 0.04
6.9 	 0.1
7.0 	 0.16
7.1 	 0.19
7.2 	 0.2
7.3 	 0.19
7.4 	 0.15
7.5 	 0.1
7.6 	 0.03
7.7 	 -0.03
7.8 	 -0.09
7.9 	 -0.14
8.0 	 -0.17
8.1 	 -0.18
8.2 	 -0.17
8.3 	 -0.13
8.4 	 -0.09
8.5 	 -0.03
8.6 	 0.03
8.7 	 0.08
8.8 	 0.12
8.9 	 0.15
9.0 	 0.16
9.1 	 0.15
9.2 	 0.12
9.3 	 0.08
9.4 	 0.03
9.5 	 -0.02
9.6 	 -0.07
9.7 	 -0.11
9.8 	 -0.13
9.9 	 -0.14
10.0 	 -0.13
