omega = 2.77 	 gamma = 0.11 	 theta_0 = 0.52
time 	 angle
0.0 	 0.52
0.1 	 0.49
0.2 	 0.43
0.3 	 0.34
0.4 	 0.22
0.5 	 0.09
0.6 	 -0.04
0.7 	 -0.17
0.8 	 -0.29
0.9 	 -0.38
1.0 	 -0.43
1.1 	 -0.46
1.2 	 -0.45
1.3 	 -0.4
1.4 	 -0.33
1.5 	 -0.23
1.6 	 -0.12
1.7 	 -0.0
1.8 	 0.12
1.9 	 0.22
2.0 	 0.31
2.1 	 0.37
2.2 	 0.4
2.3 	 0.4
2.4 	 0.37
2.5 	 0.32
2.6 	 0.24
2.7 	 0.14
2.8 	 0.04
2.9 	 -0.07
3.0 	 -0.16
3.1 	 -0.25
3.2 	 -0.31
3.3 	 -0.35
3.4 	 -0.36
3.5 	 -0.34
3.6 	 -0.3
3.7 	 -0.24
3.8 	 -0.15
3.9 	 -0.06
4.0 	 0.03
4.1 	 0.12
4.2 	 0.2
4.3 	 0.26
4.4 	 0.3
4.5 	 0.32
4.6 	 0.31
4.7 	 0.28
4.8 	 0.23
4.9 	 0.16
5.0 	 0.08
5.1 	 0.0
5.2 	 -0.08
5.3 	 -0.15
5.4 	 -0.21
5.5 	 -0.25
5.6 	 -0.28
5.7 	 -0.28
5.8 	 -0.26
5.9 	 -0.22
6.0 	 -0.16
6.1 	 -0.1
6.2 	 -0.03
6.3 	 0.04
6.4 	 0.11
6.5 	 0.17
6.6 	 0.21
6.7 	 0.24
6.8 	 0.25
6.9 	 0.24
7.0 	 0.21
7.1 	 0.16
7.2 	 0.11
7.3 	 0.05
7.4 	 -0.02
7.5 	 -0.08
7.6 	 -0.13
7.7 	 -0.18
7.8 	 -0.2
7.9 	 -0.22
8.0 	 -0.21
8.1 	 -0.19
8.2 	 -0.16
8.3 	 -0.11
8.4 	 -0.06
8.5 	 -0.0
8.6 	 0.05
8.7 	 0.1
8.8 	 0.14
8.9 	 0.17
9.0 	 0.19
9.1 	 0.19
9.2 	 0.18
9.3 	 0.15
9.4 	 0.11
9.5 	 0.07
9.6 	 0.02
9.7 	 -0.03
9.8 	 -0.08
9.9 	 -0.12
10.0 	 -0.15
