omega = 3.15 	 gamma = 0.07 	 theta_0 = 0.86
time 	 angle
0.0 	 0.86
0.1 	 0.81
0.2 	 0.69
0.3 	 0.49
0.4 	 0.26
0.5 	 -0.0
0.6 	 -0.26
0.7 	 -0.49
0.8 	 -0.66
0.9 	 -0.77
1.0 	 -0.8
1.1 	 -0.75
1.2 	 -0.63
1.3 	 -0.45
1.4 	 -0.23
1.5 	 0.01
1.6 	 0.25
1.7 	 0.46
1.8 	 0.62
1.9 	 0.72
2.0 	 0.75
2.1 	 0.7
2.2 	 0.59
2.3 	 0.42
2.4 	 0.21
2.5 	 -0.02
2.6 	 -0.24
2.7 	 -0.43
2.8 	 -0.58
2.9 	 -0.67
3.0 	 -0.7
3.1 	 -0.65
3.2 	 -0.55
3.3 	 -0.39
3.4 	 -0.19
3.5 	 0.02
3.6 	 0.23
3.7 	 0.41
3.8 	 0.55
3.9 	 0.63
4.0 	 0.65
4.1 	 0.61
4.2 	 0.5
4.3 	 0.36
4.4 	 0.17
4.5 	 -0.02
4.6 	 -0.22
4.7 	 -0.38
4.8 	 -0.51
4.9 	 -0.59
5.0 	 -0.61
5.1 	 -0.56
5.2 	 -0.47
5.3 	 -0.33
5.4 	 -0.16
5.5 	 0.03
5.6 	 0.21
5.7 	 0.36
5.8 	 0.48
5.9 	 0.55
6.0 	 0.56
6.1 	 0.52
6.2 	 0.43
6.3 	 0.3
6.4 	 0.14
6.5 	 -0.03
6.6 	 -0.2
6.7 	 -0.34
6.8 	 -0.45
6.9 	 -0.51
7.0 	 -0.53
7.1 	 -0.49
7.2 	 -0.4
7.3 	 -0.28
7.4 	 -0.13
7.5 	 0.03
7.6 	 0.19
7.7 	 0.32
7.8 	 0.42
7.9 	 0.48
8.0 	 0.49
8.1 	 0.45
8.2 	 0.37
8.3 	 0.25
8.4 	 0.12
8.5 	 -0.03
8.6 	 -0.18
8.7 	 -0.3
8.8 	 -0.39
8.9 	 -0.45
9.0 	 -0.46
9.1 	 -0.42
9.2 	 -0.34
9.3 	 -0.23
9.4 	 -0.1
9.5 	 0.04
9.6 	 0.17
9.7 	 0.28
9.8 	 0.37
9.9 	 0.42
10.0 	 0.43
