omega = 3.0 	 gamma = 0.13 	 theta_0 = 0.64
time 	 angle
0.0 	 0.64
0.1 	 0.6
0.2 	 0.51
0.3 	 0.38
0.4 	 0.22
0.5 	 0.04
0.6 	 -0.13
0.7 	 -0.29
0.8 	 -0.43
0.9 	 -0.51
1.0 	 -0.56
1.1 	 -0.55
1.2 	 -0.49
1.3 	 -0.39
1.4 	 -0.26
1.5 	 -0.11
1.6 	 0.05
1.7 	 0.19
1.8 	 0.32
1.9 	 0.42
2.0 	 0.47
2.1 	 0.49
2.2 	 0.46
2.3 	 0.39
2.4 	 0.28
2.5 	 0.16
2.6 	 0.02
2.7 	 -0.11
2.8 	 -0.23
2.9 	 -0.33
3.0 	 -0.39
3.1 	 -0.42
3.2 	 -0.42
3.3 	 -0.37
3.4 	 -0.29
3.5 	 -0.19
3.6 	 -0.08
3.7 	 0.04
3.8 	 0.15
3.9 	 0.25
4.0 	 0.32
4.1 	 0.36
4.2 	 0.37
4.3 	 0.35
4.4 	 0.29
4.5 	 0.21
4.6 	 0.12
4.7 	 0.01
4.8 	 -0.09
4.9 	 -0.18
5.0 	 -0.25
5.1 	 -0.3
5.2 	 -0.32
5.3 	 -0.32
5.4 	 -0.28
5.5 	 -0.22
5.6 	 -0.14
5.7 	 -0.05
5.8 	 0.04
5.9 	 0.12
6.0 	 0.19
6.1 	 0.25
6.2 	 0.28
6.3 	 0.28
6.4 	 0.26
6.5 	 0.22
6.6 	 0.16
6.7 	 0.08
6.8 	 0.01
6.9 	 -0.07
7.0 	 -0.14
7.1 	 -0.2
7.2 	 -0.23
7.3 	 -0.25
7.4 	 -0.24
7.5 	 -0.21
7.6 	 -0.16
7.7 	 -0.1
7.8 	 -0.04
7.9 	 0.03
8.0 	 0.1
8.1 	 0.15
8.2 	 0.19
8.3 	 0.21
8.4 	 0.21
8.5 	 0.2
8.6 	 0.16
8.7 	 0.12
8.8 	 0.06
8.9 	 0.0
9.0 	 -0.06
9.1 	 -0.11
9.2 	 -0.15
9.3 	 -0.18
9.4 	 -0.19
9.5 	 -0.18
9.6 	 -0.16
9.7 	 -0.12
9.8 	 -0.08
9.9 	 -0.03
10.0 	 0.03
