omega = 2.82 	 gamma = 0.09 	 theta_0 = 0.73
time 	 angle
0.0 	 0.73
0.1 	 0.69
0.2 	 0.61
0.3 	 0.47
0.4 	 0.3
0.5 	 0.11
0.6 	 -0.08
0.7 	 -0.27
0.8 	 -0.43
0.9 	 -0.55
1.0 	 -0.63
1.1 	 -0.66
1.2 	 -0.64
1.3 	 -0.56
1.4 	 -0.45
1.5 	 -0.3
1.6 	 -0.13
1.7 	 0.05
1.8 	 0.22
1.9 	 0.37
2.0 	 0.49
2.1 	 0.57
2.2 	 0.6
2.3 	 0.58
2.4 	 0.52
2.5 	 0.42
2.6 	 0.29
2.7 	 0.14
2.8 	 -0.02
2.9 	 -0.18
3.0 	 -0.32
3.1 	 -0.43
3.2 	 -0.5
3.3 	 -0.54
3.4 	 -0.53
3.5 	 -0.48
3.6 	 -0.39
3.7 	 -0.28
3.8 	 -0.14
3.9 	 0.0
4.0 	 0.14
4.1 	 0.27
4.2 	 0.38
4.3 	 0.45
4.4 	 0.49
4.5 	 0.48
4.6 	 0.44
4.7 	 0.37
4.8 	 0.27
4.9 	 0.15
5.0 	 0.02
5.1 	 -0.11
5.2 	 -0.23
5.3 	 -0.33
5.4 	 -0.4
5.5 	 -0.44
5.6 	 -0.44
5.7 	 -0.41
5.8 	 -0.35
5.9 	 -0.26
6.0 	 -0.15
6.1 	 -0.03
6.2 	 0.09
6.3 	 0.19
6.4 	 0.29
6.5 	 0.35
6.6 	 0.39
6.7 	 0.4
6.8 	 0.37
6.9 	 0.32
7.0 	 0.24
7.1 	 0.15
7.2 	 0.04
7.3 	 -0.06
7.4 	 -0.16
7.5 	 -0.25
7.6 	 -0.31
7.7 	 -0.35
7.8 	 -0.36
7.9 	 -0.34
8.0 	 -0.3
8.1 	 -0.23
8.2 	 -0.15
8.3 	 -0.05
8.4 	 0.04
8.5 	 0.13
8.6 	 0.21
8.7 	 0.28
8.8 	 0.31
8.9 	 0.33
9.0 	 0.31
9.1 	 0.28
9.2 	 0.22
9.3 	 0.15
9.4 	 0.06
9.5 	 -0.03
9.6 	 -0.11
9.7 	 -0.18
9.8 	 -0.24
9.9 	 -0.28
10.0 	 -0.3
