omega = 3.3 	 gamma = 0.08 	 theta_0 = 0.84
time 	 angle
0.0 	 0.84
0.1 	 0.79
0.2 	 0.65
0.3 	 0.45
0.4 	 0.2
0.5 	 -0.06
0.6 	 -0.32
0.7 	 -0.54
0.8 	 -0.69
0.9 	 -0.77
1.0 	 -0.77
1.1 	 -0.68
1.2 	 -0.52
1.3 	 -0.31
1.4 	 -0.07
1.5 	 0.18
1.6 	 0.4
1.7 	 0.57
1.8 	 0.68
1.9 	 0.72
2.0 	 0.68
2.1 	 0.57
2.2 	 0.39
2.3 	 0.18
2.4 	 -0.05
2.5 	 -0.27
2.6 	 -0.45
2.7 	 -0.59
2.8 	 -0.66
2.9 	 -0.66
3.0 	 -0.59
3.1 	 -0.45
3.2 	 -0.27
3.3 	 -0.07
3.4 	 0.14
3.5 	 0.33
3.6 	 0.49
3.7 	 0.59
3.8 	 0.62
3.9 	 0.59
4.0 	 0.49
4.1 	 0.35
4.2 	 0.16
4.3 	 -0.03
4.4 	 -0.22
4.5 	 -0.38
4.6 	 -0.5
4.7 	 -0.57
4.8 	 -0.57
4.9 	 -0.51
5.0 	 -0.4
5.1 	 -0.24
5.2 	 -0.07
5.3 	 0.12
5.4 	 0.28
5.5 	 0.41
5.6 	 0.5
5.7 	 0.53
5.8 	 0.51
5.9 	 0.43
6.0 	 0.3
6.1 	 0.15
6.2 	 -0.02
6.3 	 -0.18
6.4 	 -0.32
6.5 	 -0.43
6.6 	 -0.48
6.7 	 -0.49
6.8 	 -0.44
6.9 	 -0.34
7.0 	 -0.21
7.1 	 -0.06
7.2 	 0.09
7.3 	 0.24
7.4 	 0.35
7.5 	 0.43
7.6 	 0.46
7.7 	 0.44
7.8 	 0.37
7.9 	 0.26
8.0 	 0.13
8.1 	 -0.01
8.2 	 -0.15
8.3 	 -0.27
8.4 	 -0.36
8.5 	 -0.41
8.6 	 -0.42
8.7 	 -0.38
8.8 	 -0.3
8.9 	 -0.19
9.0 	 -0.06
9.1 	 0.07
9.2 	 0.2
9.3 	 0.3
9.4 	 0.37
9.5 	 0.39
9.6 	 0.38
9.7 	 0.32
9.8 	 0.23
9.9 	 0.12
10.0 	 -0.01
