omega = 3.35 	 gamma = 0.08 	 theta_0 = 0.79
time 	 angle
0.0 	 0.79
0.1 	 0.74
0.2 	 0.61
0.3 	 0.41
0.4 	 0.18
0.5 	 -0.08
0.6 	 -0.32
0.7 	 -0.52
0.8 	 -0.66
0.9 	 -0.73
1.0 	 -0.71
1.1 	 -0.62
1.2 	 -0.46
1.3 	 -0.25
1.4 	 -0.02
1.5 	 0.22
1.6 	 0.42
1.7 	 0.57
1.8 	 0.66
1.9 	 0.68
2.0 	 0.62
2.1 	 0.49
2.2 	 0.31
2.3 	 0.1
2.4 	 -0.12
2.5 	 -0.32
2.6 	 -0.48
2.7 	 -0.59
2.8 	 -0.63
2.9 	 -0.6
3.0 	 -0.5
3.1 	 -0.35
3.2 	 -0.17
3.3 	 0.04
3.4 	 0.23
3.5 	 0.4
3.6 	 0.52
3.7 	 0.58
3.8 	 0.58
3.9 	 0.51
4.0 	 0.39
4.1 	 0.22
4.2 	 0.04
4.3 	 -0.15
4.4 	 -0.32
4.5 	 -0.44
4.6 	 -0.52
4.7 	 -0.54
4.8 	 -0.5
4.9 	 -0.41
5.0 	 -0.27
5.1 	 -0.1
5.2 	 0.07
5.3 	 0.24
5.4 	 0.37
5.5 	 0.46
5.6 	 0.5
5.7 	 0.49
5.8 	 0.42
5.9 	 0.3
6.0 	 0.15
6.1 	 -0.01
6.2 	 -0.16
6.3 	 -0.3
6.4 	 -0.4
6.5 	 -0.46
6.6 	 -0.46
6.7 	 -0.42
6.8 	 -0.32
6.9 	 -0.2
7.0 	 -0.05
7.1 	 0.1
7.2 	 0.24
7.3 	 0.34
7.4 	 0.41
7.5 	 0.43
7.6 	 0.41
7.7 	 0.34
7.8 	 0.23
7.9 	 0.1
8.0 	 -0.04
8.1 	 -0.17
8.2 	 -0.28
8.3 	 -0.36
8.4 	 -0.4
8.5 	 -0.39
8.6 	 -0.34
8.7 	 -0.25
8.8 	 -0.14
8.9 	 -0.01
9.0 	 0.12
9.1 	 0.23
9.2 	 0.31
9.3 	 0.36
9.4 	 0.37
9.5 	 0.34
9.6 	 0.27
9.7 	 0.17
9.8 	 0.06
9.9 	 -0.06
10.0 	 -0.17
